"Ticker","Nome","Negócios","Última (R$)","Variação"
"WEGE3","WEG","5.707.900","43,69","+0,05%"
"BBSE3","BB Seguridade","5.701.900","38,10","+0,90%"
"TIMS3","TIM","5.533.000","19,30","+0,10%"
"MLAS3","Multilaser","5.463.800","1,00","-1,96%"
"HBSA3","Hidrovias do Brasil","5.244.600","2,95","-1,99%"
"BRAP4","Bradespar","5.155.200","16,10","-0,19%"
"ZAMP3","Zamp","5.102.500","3,59","+16,94%"
"SIMH3","Simpar","5.068.700","4,70","-1,47%"
"STBP3","Santos Brasil","4.913.700","13,62","-0,15%"
"UGPA3","Ultrapar","4.874.300","16,63","+0,48%"
"CYRE3","Cyrela","4.807.900","24,97","+1,26%"
"BRAV3","3R Petroleum","4.695.300","18,20","+0,33%"
"IFCM3","Infracommerce","4.560.200","0,07","+0,00%"
"EQTL3","Equatorial Energia","4.471.200","36,29","+0,42%"
"GFSA3","Gafisa","4.362.200","1,23","-3,91%"
"ELET3","Eletrobras","4.304.500","41,70","+0,63%"
"RAIL3","Rumo","4.280.400","18,06","-0,50%"
"ENGI11","Energisa","4.159.700","47,30","+0,70%"
"VIVT3","Vivo","4.076.600","27,66","+0,25%"
"DXCO3","Dexco","3.975.000","5,45","-0,37%"
"ALOS3","Allos","3.904.500","21,67","+0,74%"
"YDUQ3","YDUQS","3.771.300","15,54","+2,91%"
"SMFT3","Smart Fit","3.539.600","23,28","+0,61%"
"LJQQ3","Lojas Quero-Quero","3.536.500","3,08","-2,84%"
"EMBR3","Embraer","3.481.400","67,13","+0,15%"
"AZEV4","Azevedo & Travassos","3.472.900","0,76","-5,00%"
"RDOR3","Rede D'Or","3.264.200","36,90","+1,65%"
"SUZB3","Suzano","3.253.300","52,96","-0,43%"
"TOTS3","Totvs","3.174.100","42,50","+1,67%"
"VIVA3","Vivara","3.156.800","24,61","+2,07%"
"AURE3","Auren Energia","3.023.200","9,48","+0,96%"
"CPLE3","Copel","3.001.600","11,44","+0,70%"
"CEAB3","C&A","2.966.600","17,06","-0,52%"
"CURY3","Cury","2.945.100","29,81","+5,30%"
"CBAV3","CBA","2.885.700","4,68","-0,43%"
"GGPS3","GPS","2.866.200","14,83","-0,34%"
